<Población>,<Cantidad de nodos>,<Cantidad de arcos>,<Longitud total de los arcos>,<cantidad de coord X pares>,<cantidad de coord Y impares> 
<Abenójar, Ciudad Real, Castilla-La Mancha, España>,<157>,<369>,<90635.863>,<0>,<0>
<Agudo, Ciudad Real, Castilla-La Mancha, España>,<170>,<470>,<52380.655999999966>,<0>,<4>
<Alamillo, Ciudad Real, Castilla-La Mancha, España>,<65>,<174>,<33946.87999999999>,<0>,<0>
<Albaladejo, Ciudad Real, Castilla-La Mancha, España>,<139>,<384>,<26694.532000000014>,<0>,<0>
<Alcoba, Ciudad Real, Castilla-La Mancha, España>,<97>,<256>,<68078.55200000001>,<0>,<97>
<Alcolea de Calatrava, Ciudad Real, Castilla-La Mancha, España>,<165>,<437>,<84811.35399999988>,<0>,<13>
<Alcubillas, Ciudad Real, Castilla-La Mancha, España>,<100>,<280>,<30503.20600000001>,<0>,<0>
<Alcázar de San Juan, Ciudad Real, Castilla-La Mancha, España>,<1449>,<3146>,<442929.9659999999>,<0>,<1449>
<Aldea del Rey, Ciudad Real, Castilla-La Mancha, España>,<133>,<338>,<43669.41399999999>,<0>,<0>
<Alhambra, Ciudad Real, Castilla-La Mancha, España>,<126>,<314>,<85856.70299999995>,<0>,<0>
<Almadenejos, Ciudad Real, Castilla-La Mancha, España>,<89>,<256>,<64012.14199999995>,<0>,<0>
<Almadén, Ciudad Real, Castilla-La Mancha, España>,<269>,<697>,<100176.976>,<0>,<0>
<Almagro, Ciudad Real, Castilla-La Mancha, España>,<525>,<1303>,<173146.31699999995>,<0>,<0>
<Almedina, Ciudad Real, Castilla-La Mancha, España>,<83>,<222>,<39011.27300000002>,<0>,<0>
<Almodóvar del Campo, Ciudad Real, Castilla-La Mancha, España>,<445>,<1224>,<193015.12399999984>,<0>,<0>
<Almuradiel, Ciudad Real, Castilla-La Mancha, España>,<152>,<338>,<93992.78700000007>,<0>,<0>
<Anchuras, Ciudad Real, Castilla-La Mancha, España>,<125>,<330>,<88052.69799999997>,<0>,<125>
<Arenales de San Gregorio, Ciudad Real, Castilla-La Mancha, España>,<121>,<352>,<27797.140999999985>,<0>,<121>
<Arenas de San Juan, Ciudad Real, Castilla-La Mancha, España>,<165>,<460>,<53358.12299999997>,<0>,<165>
<Argamasilla de Alba, Ciudad Real, Castilla-La Mancha, España>,<508>,<1303>,<308183.50400000054>,<0>,<508>
<Argamasilla de Calatrava, Ciudad Real, Castilla-La Mancha, España>,<410>,<1070>,<157354.09000000003>,<0>,<0>
<Arroba de los Montes, Ciudad Real, Castilla-La Mancha, España>,<41>,<114>,<8883.124000000002>,<0>,<41>
<Ballesteros de Calatrava, Ciudad Real, Castilla-La Mancha, España>,<42>,<102>,<9332.083000000004>,<0>,<0>
<Bolaños de Calatrava, Ciudad Real, Castilla-La Mancha, España>,<597>,<1404>,<168661.77999999985>,<0>,<0>
